sessionId,source,target
181,1,2
181,1,3
181,1,20
181,1,21
181,2,3
181,2,4
181,2,20
181,2,21
181,2,22
181,2,23
181,2,24
181,3,4
181,3,5
181,4,5
181,9,23
181,18,20
181,19,21
181,20,22
181,20,23
181,21,22
181,21,24
181,22,23
181,22,24
181,23,24
182,1,2
182,1,3
182,1,4
182,1,6
182,1,7
182,1,8
182,2,3
182,2,4
182,2,5
182,2,7
182,3,5
182,4,5
182,5,12
182,6,7
182,6,8
182,6,10
182,6,11
182,7,9
182,7,11
182,8,10
182,8,13
182,9,11
182,15,18
182,18,20
182,18,23
182,19,21
182,20,22
182,20,23
182,21,22
182,21,24
182,22,23
182,22,24
182,23,24
183,1,2
183,1,3
183,1,4
183,1,5
183,1,20
183,1,21
183,1,24
183,2,4
183,2,20
183,2,21
183,2,24
183,3,4
183,3,5
183,4,5
183,6,19
183,6,21
183,6,24
183,7,9
183,7,11
183,15,18
183,18,20
183,19,21
183,20,23
183,21,24
183,22,23
183,22,24
183,23,24
184,1,2
184,1,3
184,1,6
184,1,17
184,1,19
184,1,21
184,1,24
184,2,3
184,2,4
184,2,15
184,2,17
184,2,18
184,2,19
184,2,21
184,2,24
184,3,4
184,3,5
184,3,19
184,3,21
184,3,24
184,4,5
184,4,18
184,4,24
184,6,19
184,6,21
184,7,18
184,7,21
184,8,10
184,15,18
184,16,19
184,17,19
184,17,21
184,18,20
184,18,21
184,18,23
184,18,24
184,19,21
184,19,24
184,20,21
184,20,22
184,20,23
184,20,24
184,21,22
184,21,24
184,22,23
184,22,24
184,23,24
185,1,2
185,1,3
185,1,4
185,1,17
185,2,4
185,2,17
185,6,10
185,21,24
185,22,23
185,22,24
185,23,24
186,1,2
186,1,4
186,1,6
186,1,7
186,1,8
186,1,10
186,2,4
186,2,6
186,2,7
186,2,8
186,2,10
186,3,4
186,3,5
186,4,5
186,4,6
186,6,8
186,6,10
186,7,9
186,7,10
186,7,11
186,8,10
186,8,13
186,9,11
186,13,15
186,21,22
186,21,23
186,21,24
186,22,23
186,22,24
186,23,24
187,1,2
187,1,3
187,1,4
187,1,6
187,1,7
187,1,9
187,1,17
187,1,18
187,1,19
187,1,20
187,1,21
187,1,22
187,1,23
187,1,24
187,2,3
187,2,4
187,2,6
187,2,7
187,2,9
187,2,17
187,2,18
187,2,19
187,2,20
187,2,21
187,2,22
187,2,23
187,2,24
187,3,4
187,3,5
187,3,6
187,3,7
187,3,9
187,3,17
187,3,18
187,3,19
187,3,20
187,3,21
187,3,22
187,3,23
187,3,24
187,4,5
187,4,7
187,4,9
187,4,18
187,4,19
187,4,20
187,4,21
187,4,22
187,4,23
187,4,24
187,5,22
187,5,23
187,5,24
187,6,7
187,6,8
187,6,17
187,6,19
187,6,21
187,7,9
187,7,11
187,7,17
187,7,18
187,7,19
187,7,20
187,7,21
187,7,22
187,7,23
187,7,24
187,8,10
187,9,11
187,9,15
187,9,18
187,9,20
187,9,22
187,9,23
187,9,24
187,15,18
187,17,19
187,18,20
187,18,23
187,19,20
187,19,21
187,19,22
187,19,23
187,19,24
187,20,21
187,20,22
187,20,23
187,20,24
187,21,22
187,21,23
187,21,24
187,22,23
187,22,24
187,23,24
188,1,2
188,1,3
188,1,4
188,1,7
188,1,17
188,1,18
188,1,19
188,1,20
188,1,21
188,1,23
188,2,3
188,2,4
188,2,7
188,2,17
188,2,18
188,2,20
188,2,21
188,2,23
188,3,4
188,3,5
188,3,7
188,3,17
188,3,18
188,3,19
188,3,20
188,3,21
188,3,22
188,3,23
188,3,24
188,4,5
188,4,9
188,4,18
188,4,20
188,4,21
188,4,22
188,4,23
188,5,22
188,5,23
188,6,10
188,6,19
188,7,11
188,7,17
188,7,18
188,7,20
188,7,21
188,7,23
188,8,10
188,8,19
188,15,18
188,18,20
188,18,23
188,19,21
188,20,21
188,20,22
188,20,23
188,21,22
188,21,23
188,21,24
188,22,23
188,22,24
188,23,24
189,1,2
189,1,3
189,1,4
189,1,5
189,1,6
189,1,18
189,1,19
189,1,20
189,1,21
189,1,24
189,2,3
189,2,4
189,2,6
189,2,7
189,2,17
189,2,18
189,2,19
189,2,20
189,2,21
189,2,24
189,3,4
189,3,5
189,3,19
189,3,20
189,3,21
189,3,24
189,4,5
189,4,18
189,4,19
189,4,20
189,4,21
189,4,22
189,4,23
189,4,24
189,5,21
189,5,22
189,5,24
189,6,7
189,6,17
189,6,19
189,6,20
189,6,21
189,7,17
189,7,18
189,7,20
189,15,18
189,18,20
189,19,21
189,20,21
189,20,22
189,20,23
189,20,24
189,21,22
189,21,24
189,22,23
189,22,24
189,23,24
190,1,2
190,1,3
190,1,4
190,1,6
190,1,7
190,1,9
190,2,4
190,2,7
190,2,9
190,3,4
190,3,5
190,3,6
190,3,8
190,4,5
190,4,9
190,5,12
190,6,7
190,6,8
190,6,9
190,6,10
190,7,9
190,7,11
190,8,9
190,8,10
190,8,13
190,9,10
190,9,11
190,13,15
190,15,18
