Parameter,Values
chestHR,"[54,53,52,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,51,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,50,49,48]"
chestIBI,"[1111,957,1018,1041,992,855,967,1176,1057,1088,1148,1127,1020,902,908,895,818,969,1166,971,1012,1027,980,912,996,1061,949,1078,1051,979,1029,1039,953,986,934,859,809,998,893,871,984,1008,1100,1123,1035,1082,994,869,795,863,896,857,1092,1021,1143,1170,1074,951,982,943,928,914,920,1006,867,840,762,715,678,689,686,713,887,961,1004,764,721,652,635,891,922,877,1023,1045,1000,918,814,836,930,963,959,936,941,1014,1002,889,875,1025,873,830,965,906,904,865,975,938,881,898,932,916,1031,1076,1113,824,832,1156,1119,1109,939,1080,1131,1068,1037,1094,1125,1072,977,1063,1059,1064,1232,1201,1096,1053,1105,1158,1145,1098,1107,1086,1182,1154,1104,990,1189,1160,1070,947,844]"
chestRPeak,"[1411,1397,1421,1447,1398,1355,1391,1405,1354,1406,1403,1443,1435,1361,1374,1378,1362,1377,1433,1436,1366,1459,1441,1393,1422,1420,1408,1429,1424,1363,1413,1402,1380,1342,1416,1404,1410,1399,1346,1437,1371,1331,1383,1365,1387,1390,1409,1367,1457,1462,1431,1438,1446,1336,1427,1388,1385,1418,1432,1472,1345,1245,1475,1510,1541,1500,1470,1490,1550,1532,1521,1492,1369,1553,1535,1506,1551,1512,1439,1485,1473,1509,1458,1419,1425,1479,1430,1426,1495,1434,1460,1456,1442,1445,1514,1477,1467,1454,1455,1428,1489,1451,1412,1440,1417,1483,1466,1449,1486,1469,1415,1394,1450,1423,1414,1401,1471,1476,1463,1407,1444,1461,1482,1400,1480,1474,1501,1448,1453,1468,1389]"
chestRI,"[2109,1297,719,1234,641,1266,844,1094,1063,1188,1047,1781,1156,1531,1406,750,1031,1016,969,1891,1547,1453,984,688,1281,1813,766,938,1859,906,953,1000,1625,859,797,875,891,1141,2141,1172,922,813,1953,1484,1219,828,1594,1078,734,1250,1328,672,1125,1469,781,1609,609,2000,1719,1922,1313,1375,1828,1688,1672,1938,703,1344,1797,1563,1203,1109,656,1844,1359,625,2031,1703]"
chestRPeaks,"[0.9,0.7,0.4,0.5,0.3,0.2,0.8,0.6,0.1,0.0,1.0,1.1,1.2,1.9,2.4,3.2,1.7,2.1,2.7,2.2]"
chestRR,"[28,27,26,29,30,31,32,33,34,35,36,37,38,39,40,42,44,46,48,51,54,57,61,65,69,73,77,80,82,84,83,70,66,63,60,52,49,47,71,90,95,98,99,96,92,88,78,58,55,53,50,68,72,74,64,59,56,45,43,41,76,79,81,67,62,86,89,75,93,85,94,87,91,97,100,25]"
fingerEDA,"[0.22,0.23,0.24,0.25,0.26,0.27,0.28,0.29,0.3,0.31,0.32,0.33,0.34,0.35,0.36,0.37,0.38,0.39,0.4,0.21,0.20]"
fingerEDASC,"[0.22,0.23,0.24,0.25,0.26,0.27,0.28,0.29,0.3,0.33,0.34,0.35,0.36,0.37,0.38,0.39,0.40,0.32,0.31,0.21]"
fingerEDATD,"[0.22,0.23,0.24,0.25,0.26,0.27,0.28,0.29,0.3,0.31,0.32,0.33,0.34,0.35,0.36,0.21]"
fingerEDAPD,"[0.00,0.01,0.02,0.03,0.04,0.05,0.07,0.08,0.09,0.10,0.11,0.06]"
