Parameter,Values
chestHR,"[65,64,63,62,66,67,68,69,70,61,71,72,73,60,59,74,75,76,77,78,79,80,81,82,83,84]"
chestIBI,"[928,934,959,953,914,938,939,889,900,881,859,895,871,910,930,957,922,945,973,896,936,924,867,885,887,848,902,879,824,873,852,857,883,904,908,863,865,912,906,955,949,990,1004,984,979,961,975,980,986,971,947,941,951,967,1006,963,891,977,932,818,830,840,877,875,869,893,918,898,926,846,920,916,969,943,797,836,814,816,805,826,820,854,861,838,850,828,799,764,732,721,719,750,748,789,842,844,855,965]"
chestRPeak,"[1915,1732,1889,1886,1843,1733,1918,1913,1759,1914,1803,1820,1948,1752,1926,1812,1784,1943,1887,1790,1935,1825,1754,1795,1931,1849,1737,1964,1796,1792,1901,1756,1804,1945,1763,1891,1721,1919,1779,1869,1747,1888,1876,1793,1957,1774,1883,1757,1972,1787,1938,1917,1928,1748,1893,1755,1905,1937,1910,1911,1741,1908,1940,1777,1880,1879,1727,1898,1924,1801,1922,1723,1903,1738,1873,1892,1720,1865,1799,1930,1794,1856,1834,1706,1761,1789,1962,1753,1750,1993,1762,1859,1710,1944,1778,1900,1946,1739,1878,1847,1758,1952,1782,1929,1934,1832,1862,1800,1956,1802,1896,1764,1839,1854,1770,1950,1958,1773,1766,1925,1936,1828,1760,1927,1631,1526,1844,1909,1866,1875,1860,1845,1681,1707,1703,1743,1814,1868,1881,1864,1797,1895,1840,1885,1857,1816,1749,1897,1890,1693,1836,2006,1823,1798,1767,1781,1916,1872,1907,1877,1771,1786,1815,1906,1768,1848,1807,1902,1735,1884,1740,1751,1861,1858,1813,1874,1746]"
chestRI,"[1578,1359,5484,2891,1219,1281,3234,1078,3344,4234,6172,1391,3328,1516,2188,3797,2094,1641,1594,6750,1406,1781,1906,1500,1469,3516,1719,2250,1922,1375,3578,2719,1484,4406,2703,906,1438,3266,1266,1891,1797,1766,1750,2422,2000,1422,2375,3844,1547,4719,3406,4469,2125,4813,4281,1344,1734,2609,2313,1250,1969,2406,1531,2625,1656,1625,10047,4375,1984,1688,2938,8516,7453,813,1563,6641,5109,7578,1609,1672,3750,2016]"
chestRPeaks,"[1.5,1.2,1.1,1.4,1.3,1.,1.6,1.9,3.9,2.7,2.5,1.7,1.8,2.1,2.3,2.4,8.7,4.4,2.9,2.6,3.3,3.4,3.6,4.7]"
chestRR,"[38,37,36,35,34,33,32,31,30,29,28,27,26,25,24,39,40,41,42,43,44,45,23,22,21,20,19,18,17,16,15,14,13,12,11,47,49,51,53,55,56,58,59,60,61,57,54,52,50,48,46,62,68,74,80,86,92,98,100,95,90,85,79,70,65,10,9,8,7,72,77,81,84,78,66,6,67,71,75,69,63,87,91,88,73,64,5,4,3,94,76]"
fingerEDA,"[0.42,0.41,0.4,0.39,0.38,0.37,0.36,0.35,0.34,0.33,0.32,0.31,0.3]"
fingerEDASC,"[0.37,0.42,0.41,0.4,0.39,0.38,0.36,0.35,0.34,0.33,0.32,0.31,0.3]"
fingerEDATD,"[0.37,0.38,0.39,0.36,0.35,0.34,0.33,0.32,0.31,0.3]"
fingerEDAPD,"[0.0,0.05,0.04,0.03,0.02,0.01]"



