Parameter,Values
chestHR,"[88,87,86,89,90,91,92,93,94,95,85,84,83,82,81,80,79,78,77,76,75,74,73,72,71,70]"
chestIBI,"[682,693,691,674,645,629,635,656,699,762,781,764,750,740,723,705,678,715,816,838,849,859,840,793,791,770,766,773,738,748,744,768,787,789,752,779,795,799,758,775,756,729,742,736,734,746,754,732,713,719,721,725,830,836,801,717,730,695,701,697,707,688,689,727,711,684,676,670,658,709,785,760,771,777,822,686,703,650,652,666,783,813,805,672,662,664,809,646,660,680,814,807]"
chestRPeak,"[1164,1068,1139,1159,1111,1131,963,961,973,1107,1203,1177,1141,997,1052,1081,1061,981,987,1080,1155,1153,1100,1078,1088,1046,1047,1072,1074,1075,984,1055,1105,1140,1118,1035,1032,1116,1135,1133,1011,1025,1115,1117,1103,1027,1028,1108,1104,974,1033,1073,972,1016,1037,1040,1114,1089,1024,950,1036,1124,992,1092,1099,976,1142,970,1017,1102,1097,1031,1066,1127,979,1050,1085,965,1125,1009,1002,1091,957,934,1106,956,1122,1096,959,1060,1048,1076,958,986,989,996,1082,1079,969,1042,955,952,1069,999,1098,1090,1071,1019,1077,1054,960,1044,1010,968,1056,1038,1049,991,1057,971,1087,949,1083,966,931,951,1110,1004,1101,1058,1013,1000,964,940,1014,1039,943,1086,941,982,967,962,1045,923,1006,1065,978,1093,1008,1084,980,988,1070,1020,1030,919,1003,935,993,938,1022,1190,1154,939,1121,1007,888,1041,928,906,948,1063,921,933,882,1005,925,1051,930,909,875,839,879,910,893,881,911,1034,901,864,900,824,892]"
chestRI,"[1719,1359,1828,231109,1750,1797,59156]"
chestRPeaks,"[5.4,5.5,10.4,2.6,2.4,4.8,3.2,5.8]"
chestRR,"[35,34,33,36,37,38,39,40,41,42,43,44,45,46,47,48,32,30,29,28,27,25,24,23,22,21,20,19,18,17,16,15,14,13,12,11,10,9,8,7,6,5,4,3,2,1,0,83,100,77]"
fingerEDA,"[0.06,0.05,0.07,0.08,0.09,0.04]"
fingerEDASC,"[0.06,0.05,0.07,0.08,0.09,0.04]"
fingerEDATD,"[0.05,0.06,0.07,0.08,0.09,0.04]"
fingerEDAPD,"[0.01,0.00,0.02,0.03]"  
fingerSpO2,"[98.5,98.6,98.7,98.8,98.9,99.0,99.1,99.2,99.3,99.4,99.5,99.6,99.7,99.8,99.9,0.0]" 
fingerSKT,"[34.4,34.5]"
