Parameter,Values
chestHR,"[68,67,66,69,70,71,72,73,65,74,75,76,77,78,79,80,81,82,83,84,85,64,63,62,61,60,86,87,88,89,90,91]"
chestIBI,"[885,908,877,852,865,869,826,857,867,861,873,863,889,920,879,859,762,709,719,721,742,770,764,783,779,846,904,938,961,955,967,945,922,881,887,928,957,930,900,816,787,771,754,750,836,912,965,980,992,988,828,789,805,850,822,891,883,896,898,854,848,842,813,840,834,832,830,807,818,824,820,795,760,701,697,693,707,723,758,801,703,713,729,793,924,936,918,752,738,871,902,688,715,725,705,727,744,662,803,781,811,855,844,775,797,748,734,717,672,730,785,766,814,732,799,777,809,838,691,875,773,932,740,736,746,791,895,910]"
chestRPeak,"[1049,1071,1069,1017,1087,1081,1046,1034,1082,1078,1065,1011,1058,1086,994,1093,1104,1103,1060,1122,1028,922,935,1004,1044,1115,1096,1070,1036,1089,1059,1050,1114,1066,992,1118,1099,1073,1079,1041,946,1109,1083,1111,1090,1120,980,1075,960,1030,1008,1173,1105,1064,1045,1126,1106,1042,1084,1101,1006,1080,1102,1100,1061,1113,973,1107,1022,1092,1029,1085,1026,1039,1025,1052,932,943,1097,979,1056,1024,1016,1043,1032,1021,959,1202,1055,1150,1127,1116,1123,1088,1057,1110,1010,1108,1117,1133,1129,1144,1009,1155,1156,1035,996,989,1151,1037,1154,1124,986,1068,907,1047,1005,1098,1339,1140,1072,1128,947,939,1176,1184,1248,852,1130,1012,1063,1171,1027,1054,1139,1067,1014,1076,993,1077,1019,984,1053,1051,1031,1074,1112,1131,851,1095,1091,1148,941,875,954]"
chestRI,"[1719,2141,1703,1875,1672,2219,2422,1500,1813,2016,1766,641,1391,1734,1625,3000,1422,1750,750,1641,1453,2172,1828,1922,1234,2391,1578,1125,1594,2031,1797,1781,2375,2250,1859,1984,656,2297,1906,1359,1547,1688,1844,1656,1969,1203,1109,1406,2266,1156,1250,3297,1516,1484,1266,1531,1469,1141,2641,2531,1609,609,953,1438,2813,2406,938,859,781,1172,2109,2969,906,875,2156,1375,1047,1563]"
chestRPeaks,"[0.7,0.8,1.1,1.9,1.4,1.5,1.,1.2,0.9,0.5,0.3,0.6,0.4,1.3,1.6,2.4,2.6]"
chestRR,"[35,36,37,38,39,34,33,32,31,30,29,28,27,26,25,24,40,41,42,46,51,57,63,72,81,91,100,94,87,80,74,68,59,55,52,49,44,23,22,21,20,19,43,53,58,64,69,76,95,83,79,70,66,62,47,45,48,50,56,61,85,97,96,86,71,67,65,78,93,90,75,60,54,18,17,88,99,89,77,73]"
fingerEDA,"[0.14,0.15,0.16,0.17,0.13,0.18,0.19,0.2,0.21,0.12,0.11,0.1,0.22,0.23,0.24,0.25,0.26,0.27,0.28,0.29,0.09,0.08,0.07,0.06,0.05,0.04,0.03,0.02,0.01]"
fingerEDASC,"[0.1,0.15,0.16,0.14,0.17,0.13,0.18,0.19,0.2,0.21,0.11,0.22,0.23,0.24,0.25,0.26,0.27,0.28,0.29,0.12,0.01,0.05]"
fingerEDATD,"[0.06,0.05,0.04,0.07,0.08,0.09,0.1,0.11,0.12,0.13,0.14,0.15,0.16,0.17,0.18,0.19,0.2,0.21,0.03,0.02,0.01,0.,0.01,0.02,0.03,0.04]"
fingerEDAPD,"[0.04,0.09,0.1,0.11,0.12,0.13,0.08,0.07,0.06,0.05,0.03,0.02,0.01,0.0,0.14,0.16,0.15,0.19,0.18,0.22,0.2,0.21,0.24,0.23,0.25,0.17,0.31]"
fingerSpO2,"[97.6,97.7,97.8,97.9,98.0,98.1,98.2,98.3,98.4,98.5,98.6,98.7,98.8,98.9,99.0,99.1,99.2,99.3,99.4,99.5,99.6,99.7,99.8,99.9,100.0,0.0]"
fingerSKT,"[32.9]"


