Parameter,Values
chestHR,"[63,64,65,62,61,60,59,58,57,56,55,66,67,68,69,70,71,72,73,74,75,76,77,78,79]"
chestIBI,"[949,930,951,918,979,1012,1021,1086,1066,1063,1064,1008,945,975,896,967,990,1018,1025,1023,1035,1020,1047,939,914,957,908,973,980,992,986,988,1014,961,1002,998,959,1004,971,965,1000,943,934,982,938,1029,963,953,1041,1006,1016,955,891,863,865,873,854,904,977,1010,969,898,846,900,881,912,895,885,850,855,838,830,861,889,926,893,883,857,859,848,875,836,871,842,832,867,877,834,803,787,805,807,910,920,924,941,984,928,922,887,879,809,826,916,906,902,932,783,760,811,814,936,947]"
chestRPeak,"[1985,1905,1843,2005,1810,1966,1876,1939,2030,1850,1965,1970,1832,1986,1887,1872,1955,1728,2015,1998,1842,1916,1976,1871,1946,2006,1807,2002,1856,1831,1927,1897,1830,1989,1865,1868,1824,1988,1991,1806,1928,2009,1869,1978,1874,2016,1884,1945,1979,1815,1992,1892,1893,2020,1834,1994,1996,1846,2034,1930,1836,2023,1957,1956,1829,2013,1909,1826,1972,1726,1900,1948,1952,1987,1967,1820,1984,1833,1848,2022,1862,1588,1517,1941,1969,1882,1968,1997,1841,1924,1849,1944,1878,1933,1907,1951,1828,1993,1818,2029,1847,2001,1936,2014,1821,2033,1796,1805,1990,1981,1873,1995,1977,1971,1974,1917,1901,1883,1999,1853,2008,1870,2019,1975,1819,2017,1776,1812,1915,1920,1844,2000,1914,1867,1839,1958,1816,1894,1949,1693,1982,1929,1906,1779,1962,1817,1902,1923,1925,1908,1711,1722,1866,1797,1877,1753,1888,1863,1793,1889,1880,1774,1886,1770,1891,1840,1961,1890,1935,1827,1783,1919,1942,1787,1931,1694,1789,1980,1808,1790,1792,1788,1937,1825,1940,1918,1736,1896,1899,1913,1799,1879,1746]"
chestRI,"[1625,1641,3938,2094,2172,1703,1500,2250,1359,1906,1688,2422,1594,2047,1609,1125,4578,1484,1328,1781,1547,3531,4406,6453,3688,2656,5078,2531,1938,1750,1563,2328,1766,2516,1578,1719,1172,2078,2188,1516,2359,1391,1266,1203,2781,3563,969,2438,1438,2547,719,656,1281,1469,3297,3359,2938,7750,6406,1422,2609,5984,6109,2453,1828,1984,1672,1656,1313,1344,1859,1797,6313,1000,1234,2313,1141,1219,1297,938,1734,2266,3281,2500,7766,1078,2797,3000,4656,2875,1531,2125,1813]"
chestRPeaks,"[1.4,1.7,1.3,0.8,0.9,0.7,1.2,1.,3.1,2.1,1.9,1.1,3.9,1.6,5.7,2.7,1.5,6.2,4.7,3.7,3.6,2.5,4.5,7.5,5.1,4.6,2.0,2.2,2.3,4.2,4.3]"
chestRR,"[37,36,38,39,35,34,33,32,31,30,29,28,27,26,25,24,23,22,21,20,19,18,17,16,15,40,41,42,43,44,45,46,47,48,49,50,51,52,53,14,13,12,54,11,10,9,55,56,59,62,65,67,69,70,68,60,58,66,73,80,87,93,99,100,95,91,88,84,77,74,71,63,61,57,8,7,6,5,64,75,81,86,94,97,98,92,79,4]"
fingerEDA,"[0.75,0.76,0.74,0.73,0.72,0.71,0.7,0.69,0.68,0.67,0.66,0.65,0.64,0.63,0.62,0.61,0.6,0.59,0.58,0.57,0.56,0.55,0.54,0.53,0.52,0.51,0.5,0.49,0.77,0.78,0.79,0.8,0.81,0.82,0.83,0.84,0.85,0.86,0.87,0.88,0.89,0.9,0.91,0.92,0.93,0.94,0.95,0.96,0.97,0.98,0.99,1.00,1.01,1.02,1.03,1.04,1.05]"
fingerEDASC,"[0.79,0.76,0.75,0.74,0.73,0.72,0.71,0.7,0.69,0.68,0.67,0.66,0.65,0.64,0.63,0.62,0.61,0.6,0.59,0.58,0.57,0.56,0.55,0.54,0.53,0.52,0.51,0.5,0.49,0.77,0.81,0.82,0.83,0.88,0.9,0.92,1.00,1.02,1.01,0.99,0.98,0.97,0.96,0.95,0.94,1.03,1.05,1.04,0.93,0.91,0.89,0.87,0.86,0.85,0.84,0.78,0.8]"
fingerEDATD,"[0.71,0.7,0.69,0.68,0.67,0.66,0.65,0.64,0.63,0.62,0.61,0.6,0.59,0.58,0.57,0.56,0.55,0.54,0.53,0.52,0.51,0.5,0.49,0.48,0.47,0.72,0.73,0.74,0.75,0.76,0.77,0.78,0.79,0.8,0.81,0.82,0.83,0.84,0.85,0.86,0.87,0.88,0.89]"
fingerEDAPD,"[0.08,0.05,0.04,0.03,0.02,0.01,0.0,0.09,0.1,0.07,0.06,0.11,0.12,0.16,0.17,0.21,0.23,0.24,0.32,0.33,0.31,0.3,0.29,0.28,0.27,0.26,0.25,0.22,0.2,0.19,0.18,0.15,0.14,0.13]"
fingerSpO2,"[96.2,96.3,96.4,96.5,96.6,96.7,96.8,96.9,97.0,97.1,97.2,97.3,97.4,97.5,97.6,97.7,97.8,97.9,98.0,98.1,98.2,98.3,98.4,98.5,98.6,98.7,98.8,98.9,99.0,99.1,99.2,99.3,99.4,99.5,99.6,99.7,99.8,99.9,100.0,0.0]"
fingerSKT,"[34.1,34.2]"


