Parameter,Values
chestHR,"[79,80,78,77,76,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97]" 
chestIBI,"[758,752,766,793,771,777,750,754,732,697,713,719,738,707,729,740,705,725,734,736,715,723,730,744,711,699,709,756,775,764,727,701,717,684,689,695,691,703,676,693,678,721,686,680,682,672,688,664,748,746,742,762,781,768,670,674,773,666,662,791,787,650,633,623,625,617,627,770,656,658,668,660,654]"  
chestRPeak,"[1012,1032,906,1059,1001,951,1037,1033,990,892,970,983,1010,984,929,1016,1049,920,868,1057,993,912,1042,1017,867,950,1021,1019,946,940,998,999,887,991,1077,980,1026,1009,875,981,1018,904,905,997,996,891,952,1023,924,1055,1043,900,911,1025,1020,926,1013,910,1080,989,964,865,986,1030,944,919,1053,1056,965,962,1024,1066,895,1036,914,923,1075,908,1067,856,968,1048,961,1004,1015,894,966,1044,901,1003,918,976,1008,935,942,1006,916,896,1002,1022,899,1028,995,893,963,898,939,1011,985,937,917,956,932,1027,959,1000,913,1046,975,884,861,967,922,1070,888,994,864,930,925,1005,852,971,1014,969,876,974,933,978,862,1034,849,1074,953,889,1060,848,909,1031,902,907,1052,988,979,1029,945,992,886,955,915,982,1086,936,873,927,883,1040,973,957,949,1071,897,870,1007,851,859,890,1035,869]"
chestRI,"[1156,1625,1875,1453,1922,1000,672,1406,1313,922,1391,844,1188,1563,688,1375,1672,1484,2016,1656,1344,781,953,766,1281,1172,1750,1953,1734,1578,1297,828,938,1141,1531,1422,719,859,1438,1234,1594,1469,1766,2047,1547,1703,875,1500,703,1016,1109,1266,1219,641,656,1047,813,609,1516,984,1063,1938,625,1969,1250,1125,1609,2219,1813,1328,734,1359,750,2000,1781]" 
chestRPeaks,"[0.1,0.4,0.6,0.3,0.5,0.2,0.9,0.7,0.8]" 
chestRR,"[52,53,54,51,50,49,48,47,46,45,44,43,42,41,40,39,38,37,36,35,34,33,32,31,30,55,58,62,65,69,72,76,79,82,85,87,88,89,73,70,67,64,61,59,56,57,60,63,66,68,71,74,94,98,100,95,91,86,81,75,77,78,83,84,29,80,93,96,97,90,92,99,28,27,26,25]" 
fingerEDA,"[0.17,0.18,0.20,0.21,0.22,0.23,0.24,0.25,0.26,0.27,0.28,0.29,0.19,0.16,0.15,0.14,0.13,0.30,0.12,0.11,0.10]" 
fingerEDASC,"[0.17,0.22,0.23,0.21,0.24,0.25,0.27,0.26,0.28,0.19,0.18,0.16,0.14,0.13,0.2,0.15,0.11,0.12,0.10]"  
fingerEDATD,"[0.17,0.18,0.19,0.2,0.21,0.22,0.23,0.16,0.15,0.14,0.13,0.12,0.11,0.1,0.09,0.08]" 
fingerEDAPD,"[0.00,0.04,0.06,0.05,0.07,0.08,0.1,0.09,0.03,0.02,0.01,0.11,0.15]"   
fingerSpO2,"[98.0,98.1,98.2,98.3,98.4,98.5,98.6,98.7,98.8,98.9,99.0,99.1,99.2,0.0]" 
fingerSKT,"[32.0,32.2,32.4,32.5,32.6]"
