Parameter,Values
chestHR,"[64,65,63,62,66,67,68,69,70,71,72,73,75,76,77,78,79,80,81,82,83,84,85,86,74,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103]"
chestIBI,"[936,975,941,930,918,777,703,723,789,756,816,869,873,828,811,861,906,900,832,820,881,895,889,840,813,877,914,857,818,891,898,834,826,854,871,848,836,764,824,783,830,838,801,822,807,846,852,797,842,855,875,867,850,896,793,768,775,844,803,809,766,779,791,799,885,863,736,773,742,805,750,787,740,721,785,754,859,879,865,771,762,719,664,648,643,622,617,641,680,893,910,922,814,781,730,744,795,758,734,732,738,746,748,760,770,904,715,668,639,616,596,583,588,595,713,729,727]"
chestRPeak,"[933,941,909,841,916,978,994,923,972,928,888,895,929,956,936,875,996,962,913,872,918,963,881,812,898,927,940,871,911,938,942,882,883,939,873,948,943,906,878,954,930,946,925,945,868,974,952,961,884,968,944,894,958,887,921,919,897,851,949,947,890,920,860,896,874,905,951,979,900,862,965,970,901,856,982,893,908,857,957,850,869,966,902,935,914,937,985,969,934,960,899,926,892,847,877,903,959,864,835,917,912,1006,886,853,839,964,879,866,922,915,910,975,904,891,953,932,973,931,1007,907,999,870,955,924,967,889,988,950]"
chestRI,"[2172,1766,828,1016,1094,1047,609,1266,2141,1609,1344,1359,1719,1203,1453,1641,1625,1969,1734,641,1563,1781,1406,969,1219,1688,1750,1594,1656,1031,1797,1875,1375,1328,1859,922,625,1828,1813,2156,1672,1281,1547,672,1703,1578,1844,1438,703,1922,797,1250,1391,750,1063,859,688,953,1234,1516,1422,734,1156,2234,1484,1469,1500,1125,1109,2500,1531,719,1000,938,1188,1172,1313,1297,1141,875,984]"
chestRPeaks,"[1.1,0.3,0.4,0.1,0.,0.7,0.5,0.2,0.6,1.2,1.6,1.4]"
chestRR,"[28,27,29,30,31,32,33,34,35,37,38,41,43,46,49,52,55,59,63,67,71,74,76,78,79,77,72,69,65,62,60,58,57,56,54,53,66,70,84,90,95,99,100,86,81,68,64,61,50,47,45,44,42,40,36,39,48,51,26,83,94,97,89,82,75,80,91,98,96,73,85,92,93,88,25,87,24,23,22,21]"
fingerEDA,"[0.31,0.32,0.33,0.3,0.29,0.28]"
fingerEDASC,"[0.31,0.32,0.3,0.29,0.28]"
fingerEDATD,"[0.31,0.32,0.3,0.29,0.28]"
fingerEDAPD,"[0.00,0.02,0.01]"
fingerSpO2,"[100.0,99.9,99.8,99.7,99.6,99.5]"
fingerSKT,"[30.4,30.5,30.6,30.7,30.8,30.9,31.0,31.1,31.2,31.3,31.4,31.5]"
Fp1,"[0.2729,0.2729,0.2227,0.1894,0.2029,0.1763,0.1763,0.3696,0.3623,0.3623,0.0411,0.0338,0.0217,0.0217,0]"
Fp2,"[0.2754,0.3213,0.2464,0.2488,0.1957,0.2754,0.2754,0.1594,0.3623,0.3623,0.087,0.0628,0.0314,0.0314,0.0145]"
AF3,"[0.3007,0.3007,0.2923,0.0628,0.0676,0.0362,0.0362,0,0,0,0,0,0,0,0]"
AF4,"[0.2633,0.2597,0.2464,0.1812,0.3889,0.3768,0.3768,0.3696,0.3623,0.3623,0.0411,0.0338,0.0217,0.0217,0.0145]"
Fz,"[0.3949,0.393,0.3865,0.0556,0.0399,0,0,0,0,0,0,0,0,0,0]"
F7,"[0.0217,0.0217,0.0217,0.0217,0.0217,0.0145,0.0145,0.0145,0.0145,0.0145,0.3623,0.3623,0.3623,0.3623,0.0217]"
F8,"[0.3213,0.2802,0.3889,0.3889,0.3889,0,0,0,0,0,0.0604,0.0507,0,0,0]"
FC5,"[0.0217,0.0217,0.0217,0.0217,0.0217,0,0,0,0,0,0.3623,0.3623,0.3623,0.3623,0.0217]"
FC6,"[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]"
FT7,"[0.0314,0.0314,0.0314,0.0314,0.0314,0.0145,0.0145,0.0145,0.0145,0.0145,0.3623,0.3623,0.3623,0.3623,0.0314]"
FT8,"[0,0,0,0,0,0,0,0,0,0,0.0362,0.0314,0,0,0]"
Cz,"[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]"
C3,"[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]"
C4,"[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]"
CP3,"[0.0507,0.0464,0.0145,0.0145,0.0145,0,0,0,0,0,0,0,0,0,0]"
CP4,"[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]"
Pz,"[0.4082,0.4082,0.3889,0.3889,0.0447,0.3768,0.3768,0.029,0,0,0.0411,0,0,0,0]"
P3,"[0.2029,0.0809,0.0145,0.0145,0.0145,0,0,0,0,0,0,0,0,0,0]"
P4,"[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]"
PO3,"[0,0,0,0,0,0,0,0.3696,0,0,0,0,0,0,0,0]"
PO4,"[0.0266,0.0266,0.0266,0.0266,0.0266,0.029,0.029,0.029,0,0,0,0,0,0,0]"
Oz,"[0.0411,0.0411,0.0411,0.0411,0.0411,0.3696,0.3696,0.1594,0.3696,0.0314,0.0314,0,0,0,0,0]"
O1,"[0.0266,0.0266,0.0266,0.0266,0.0266,0.3696,0.3696,0.3696,0.0217,0.0217,0,0,0,0,0]"
O2,"[0.0411,0.0411,0.0411,0.0411,0.0411,0.1594,0.1594,0.1594,0.0217,0.0217,0,0,0,0,0]"
