Parameter,Values
chestHR,"[85,84,83,82,81,80,79,78,77,76,75,74,73,72,71,70,69,68,67,66,65,64,86,87,88,89,90,63,91,92,62,61,60]"
chestIBI,"[709,744,797,834,863,893,906,924,928,920,766,775,760,750,717,711,684,686,689,734,826,838,830,795,781,803,813,842,818,783,793,822,850,865,840,799,758,719,701,678,668,670,672,682,680,736,814,844,832,855,857,787,807,859,877,773,742,791,764,748,723,861,732,727,674,703,715,824,941,945,926,938,932,879,777,762,811,785,789,746,729,768,820,854,754,730,691,666,654,664,707,836,875,873,883,871,887,900,947,969,939,916,908,955,936,805,809,869,912,934,943,930,721,740,828,914,904,895,949,910,881,695,770,889,965,988,980,771,688,816,779,693,801,898]"
chestRPeak,"[1072,1058,1085,1063,1057,973,1064,1055,1074,1046,1023,909,1048,1147,1152,1262,1121,955,982,1031,1081,1086,1075,1067,1093,1131,1116,1078,1150,1143,1157,1088,1095,1097,1052,1105,1080,1062,1003,1026,1087,1049,1090,1056,1071,1119,1025,1089,931,1059,1020,1070,1066,1084,1123,1029,989,991,1019,1069,1094,1041,1159,1140,1060,1051,937,930,985,1127,1130,1160,1122,1083,1107,1148,1110,1061,1005,1109,1042,1022,1018,1024,1045,1106,1124,1108,1077,1102,1091,1014,1169,1133,1166,1141,1171,1065,1099,1165,1104,1113,1126,1146,1012,1120,1016,1092,1132,1118,1117,1134,1114,1125,1135,1015,1149,1036,1153,1101,1111,1028,1076,1032,1035,1047,1050,994,1037,940,983,1438,1082,1033,1034,1043,1010,1040,1007,992,932,950,1006,1073,998,972,1138,1038,1136,1098,1103,1164,1155,976,1163,1139,1000,1168,1044,1115,1142,996,953]"
chestRI,"[641,1469,1484,1766,1578,2031,656,1781,1688,1375,1234,1656,781,1984,1453,1703,2188,1719,1938,2313,1734,719,2297,2141,1641,750,1672,859,1313,1891,1141,1625,1250,1531,1594,1344,1094,1500,797,766,1172,969,734,1016,1438,1406,703,844,953,1391,1297,1563,2063,1516,938,2000,1875,2234,1219,2047,625,672,984,828,1813,1922,1188,1547,609,2125,1750,1906,1844,1828,1328,906]"
chestRPeaks,"[0.8,0.4,2.3,1.2,1.0,0.5,1.3,0.7,0.2,1.4,1.9,0.6,1.7,1.5,0.9,1.1,0.3,2.7,1.6,1.8,2.4,2.2]"
chestRR,"[94,95,97,99,100,91,88,84,80,77,74,70,67,64,62,59,57,54,52,51,49,48,46,45,44,43,42,41,40,39,38,37,36,35,34,33,32,31,30,29,28,27,26,25,24,47,53,60,69,79,87,72,66,61,56,50,55,65,76,83,90,96,85,75,58,63,71,78,81,82,73,92,98,89,86,68,23,22,21,20,19,93]"
fingerEDA,"[0.84,0.83,0.82,0.81,0.8,0.79,0.78,0.77,0.76,0.75,0.74,0.73,0.72,0.71,0.7,0.69,0.68,0.67,0.66,0.65,0.64,0.63,0.62,0.61,0.6,0.59,0.58,0.57,0.85,0.86,0.87,0.88,0.89,0.9,0.91,0.92,0.93,0.56,0.55,0.54,0.53,0.52,0.51,0.5,0.49,0.48,0.47,0.46,0.45,0.44,0.43,0.42,0.41,0.4,0.39,0.38,0.37,0.36,0.34,0.33,0.32,0.31,0.29,0.28,0.26,0.24,0.23,0.21,0.2,0.19,0.18,0.27,0.3,0.35,0.25,0.22,0.16,0.13,0.11,0.1,0.08,0.07,0.06,0.05,0.04,0.03,0.02,0.01,0.0,0.15,0.17,0.14,0.12,0.09]"
fingerEDASC,"[0.83,0.8,0.82,0.81,0.79,0.78,0.77,0.76,0.75,0.74,0.73,0.72,0.71,0.7,0.69,0.68,0.67,0.66,0.65,0.64,0.63,0.62,0.61,0.58,0.86,0.87,0.85,0.84,0.89,0.9,0.91,0.92,0.93,0.88,0.57,0.6,0.59,0.56,0.51,0.53,0.52,0.5,0.49,0.48,0.44,0.39,0.36,0.43,0.46,0.45,0.42,0.47,0.37,0.38,0.41,0.54,0.4,0.55,0.22,0.35,0.04,0.01,0.24,0.14,0.1,0.34,0.26,0.3,0.31,0.29,0.33,0.23,0.02,0.07,0.21,0.28,0.32,0.16,0.17,0.11,0.0,0.25,0.06]"
fingerEDATD,"[0.63,0.62,0.61,0.6,0.59,0.58,0.64,0.65,0.66,0.67,0.68,0.69,0.7,0.71,0.72,0.73,0.74,0.57,0.75,0.76,0.77,0.78,0.79,0.56,0.55,0.54,0.53,0.52,0.51,0.5,0.49,0.48,0.47,0.46,0.45,0.44,0.43,0.42,0.41,0.4,0.39,0.38,0.37,0.36,0.35,0.34,0.33,0.32,0.31,0.3,0.29,0.28,0.27,0.26,0.25,0.24,0.23,0.22,0.21,0.2,0.19,0.18,0.17,0.16,0.15,0.14,0.13,0.12,0.11,0.1,0.09,0.08,0.07,0.06,0.05,0.04,0.02,0.01,0.0,0.03,0.58,0.63,0.81,0.84,0.86,0.89,0.91,0.93,0.95,0.97,0.98,1.0,1.02,1.03,1.04,1.05,1.06,1.07,1.08,1.01,0.99,0.96,0.94,0.92,0.87,0.85,0.83,0.8]"
fingerEDAPD,"[0.19,0.16,0.18,0.17,0.15,0.14,0.13,0.12,0.11,0.1,0.09,0.08,0.07,0.06,0.05,0.04,0.03,0.0,0.2,0.24,0.23,0.27,0.28,0.26,0.25,0.22,0.21,0.02,0.01,0.32,0.31,0.3,0.29,0.33,0.35,0.34,0.39,0.36,0.37,0.4,0.45,0.47,0.44,0.46,0.49,0.48,0.5,0.52,0.53,0.55,0.61,0.64,0.68,0.7,0.71,0.73,0.77,0.8,0.81,0.83,0.84,0.86,0.87,0.88,0.58,0.91,0.97,0.96,0.98,1.02,1.03,1.04,1.05,0.89,0.63,0.82,0.79,0.78,0.72,0.6,0.57,0.54,0.51,0.42,0.41,0.38,0.43,0.66,0.85,0.59,0.92,0.62,0.94,1.0,1.08,1.14,1.06,1.16,1.31,1.41,1.27,1.1,1.01,1.28,1.44,1.5,1.47,1.23,1.33,1.37,1.46,1.51,1.42,1.53,1.55,1.54,1.52,1.57,1.22,0.95,0.75,0.65,0.56,0.76,0.67,0.9,0.93]"
