Parameter,Values
chestHR,"[70,69,71,72,73,68,67,66,65,64,63,62,61,60,59,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,58,57,56,55,54,53,52]"
chestIBI,"[854,826,920,945,895,836,973,877,857,943,1014,1020,998,850,791,744,693,678,738,916,953,1068,1092,1000,1059,1078,1045,988,1018,1037,918,930,1023,1057,959,1027,996,1039,936,1016,1012,938,965,957,883,992,1098,1049,949,779,830,924,990,994,885,865,838,822,912,963,951,893,1021,873,824,896,887,818,869,982,1004,984,889,926,934,1025,1031,922,975,902,852,939,875,967,961,1010,980,941,932,908,1105,1070,1066,1041,881,879,1051,1082,1053,898,986,1033,955,1002,928,1035,828,904,863,947,814,1072,977,859,775,820,1090,1123,1096,1115,971,969,979,867,844,848]"
chestRPeak,"[1202,1146,1235,1232,1224,1192,1201,1209,1200,1177,1221,1217,1234,1186,1244,1189,1275,1246,1218,1255,1173,1133,1159,1180,1149,1145,1231,1213,1206,1242,1194,1230,1165,1155,1216,1195,1240,1250,1143,1156,1223,1222,1175,1188,1208,1193,1182,1288,1233,1166,1220,1185,1163,1153,1205,1268,1196,1167,1214,1210,1207,1168,1187,1150,1190,1219,1181,1142,1183,1204,1229,1227,1176,1228,1179,1238,1162,1212,1139,1198,1211,1137,1154,1245,1160,1171,1253,1248,1197,1225,1203,1239,1237,1215,1241,1191,1172,1226,1199,1138,1243,1184,1121,1151,1164,1174,1260,1152,1247,1178,1254]"
chestRI,"[875,813,906,953,891,1734,1875,1781,1031,1016,1516,1641,1125,1203,938,2000,969,1078,2109,1969,1313,641,1953,2094,922,984,1000,1047,844,1094,1063,828,1609,859,1719,797,1172,672,1922,781,625,1250,1766,1797,1859,1109,719,1234,703,2016,1844,688,2141,2031,1906,1578,1297]"
chestRPeaks,"[0.4,0.6,0.3,0.7,0.8,0.9,0.2,1.0,2.7,3.1,1.3,0.5,1.1]"
chestRR,"[69,68,67,70,71,72,73,74,66,65,64,63,62,61,60,58,56,55,53,51,50,48,47,46,44,43,42,41,40,39,38,37,36,35,34,33,32,31,30,52,54,57,59,49,45,29,28,27,78,84,90,95,98,100,99,96,93,89,85,81,77,26,25,24,76,79,75,80,82,91,92,88,86,97,83,87]"
fingerEDA,"[0.34,0.37,0.4,0.42,0.44,0.45,0.43,0.41,0.39,0.38,0.36,0.35,0.33,0.32,0.31,0.3,0.29,0.28,0.27,0.26,0.25,0.24,0.23,0.22,0.21,0.2,0.19]"
fingerEDASC,"[0.34,0.43,0.42,0.44,0.45,0.41,0.4,0.39,0.38,0.37,0.36,0.35,0.33,0.32,0.31,0.3,0.29,0.28,0.27,0.26,0.25,0.24,0.23,0.22,0.21]"
fingerEDATD,"[0.34,0.35,0.36,0.37,0.38,0.39,0.4,0.41,0.33,0.32,0.31,0.30,0.29,0.28,0.27,0.26,0.25,0.24,0.23,0.22,0.21]"
fingerEDAPD,"[0.00,0.09,0.1,0.08,0.07,0.06,0.05,0.04,0.03,0.02,0.01]"
fingerSpO2,"[97.4,97.5,97.6,97.7,97.8,97.9,98.0,98.1]" 
