Parameter,Values
chestHR,"[75,76,74,73,72,71,70,69,68,67,66,65,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93]"
chestIBI,"[797,850,887,871,867,885,893,791,816,861,902,920,875,898,924,883,840,836,834,828,762,758,785,846,852,879,805,783,781,789,766,744,820,803,857,809,773,795,725,732,775,770,734,742,764,777,760,740,674,648,676,668,838,832,771,824,813,822,877,914,896,873,855,830,807,818,842,768,750,865,793,752,729,738,826,814,844,756,779,801,709,680,688,705,799,848,854,736,717,715,701,723,754,811,787,863,859,908,895,881,730,678,654,684,689,660,672,746]"
chestRPeak,"[805,810,774,802,753,745,841,790,703,796,792,778,767,750,747,809,818,758,748,777,787,742,782,751,775,766,786,757,771,739,772,781,761,756,760,791,765,780,759,803,785,698,735,776,762,738,749,764,743,720,736,721,710,618,613,704,723,816,746,726,733,783,755,754,763,773,789,732,800,779,788,811,784,700,737,817,705,715,728,731,722,672,768,718,727,752,717,740,770,794,793,676,685,797,795,769,695,709,799,689,654,716,708,734,706,825,804,806,697,650,551,626,669,801,645,641,707,822]"
chestRI,"[1141,625,1797,1750,1594,781,656,1031,906,984,688,922,1313,969,828,641,750,859,844,891,734,813,1500,1672,875,719,1266,703,1375,1000,1688,1625,1047,938,797,1250,1438,1063,1125,766,1016,1078,953,672,1484,1344,1391,1563,1703,1859,1656,609,1531,1641,1297,1734,1844,1406,1219,1172,1578,1422,1516,1547,2188,1203,2031,1891,1828]"
chestRPeaks,"[0.2,0.3,0.4,0.6,0.7,0.5,0.1,0.9,0.0,0.8,2.5,1.5,1.6]"
chestRR,"[53,52,51,50,49,48,47,46,55,58,61,65,69,74,80,85,91,96,100,99,95,86,82,77,72,68,64,60,57,44,42,40,38,37,36,35,34,33,32,31,30,39,41,43,45,56,62,66,70,79,84,88,90,92,89,87,81,78,76,73,59,63,67,75,83,54,71,94,98,93,97,29,28,27]"
fingerEDA,"[0.94,0.92,0.9,0.89,0.88,0.87,0.86,0.85,0.84,0.83,0.82,0.81,0.91,0.93,0.95,0.96,0.97,0.98,0.99,1.00,1.01,1.02,1.03]"
fingerEDASC,"[0.94,0.88,0.87,0.86,0.85,0.84,0.83,0.82,0.81,0.89,0.90,0.92,0.93,0.95,0.97,0.98,0.99,1.00,1.01,1.02,1.03]"
fingerEDATD,"[0.87,0.86,0.85,0.84,0.83,0.82,0.81,0.80,0.88,0.89,0.90,0.91,0.92]"
fingerEDAPD,"[0.07,0.01,0.00,0.02,0.03,0.04,0.05,0.08,0.09,0.10,0.11,0.12,0.13]"
